experiment_id,experiment_name,family,step,data_status,main_target,best_horizon,best_result_summary,price_rmse_result,direction_result,volatility_result,stability,leakage_risk,overfitting_risk,final_verdict,reason,recommended_action,integrate_in_main_study,notes
EXT025,random_walk_and_futures_price_benchmark,benchmarks,P0,DATA_READY,price/return,H5-H90,RW imbattable: 0/36 couples benchmark x horizon ne battent la RW (DM p<0.10),RW best (reference); aucune baseline naive ne bat,none,none,stable,none,low,KEEP,La random walk est la baseline de prix la plus dure; reference de tout le programme,oui (deja le benchmark implicite),"Tableau metrics_ext025.csv = reference RMSE pour tout EXT"
EXT006,roll_method_volume_based,roll/serie continue,P0,DATA_READY (CBOT) / DATA_BLOCKED (reconstruction),hygiene serie,tous,CBOT vendeur sans artefact; EMA raw 10.2 EUR/t/roll (6.6x); adjusted OK,n/a,n/a,n/a,stable,none,low,IMPROVE,Hygiene de serie protege tous les resultats; reconstruction historique bloquee,oui (regle: features EMA sur adjusted ou hors rolls),"Ticket projet: auditer la serie alimentant basis_z"
EXT026,wasde_vintage_pipeline,WASDE infra,P0,DATA_READY,infra (pas de signal),n/a,Vintage 207 rapports valide 24/24; FUITE ~8j detectee dans serie interne quotidienne,n/a,n/a,n/a,n/a,none (vintage) / detectee (interne),low,KEEP,Source WASDE anti-fuite unique; fuite interne documentee,oui (source WASDE des features),"Ticket projet: recaler expansion interne sur publication+1BD"
EXT007,wasde_release_features,WASDE niveaux,P1,DATA_READY,direction/return,H20,dDA +6.1 pts H20 stable 2 moities; RMSE pire (niveaux non-stationnaires),degrade (jusqu'a +194% H90),+0.061 DA H20 (stable),n/a,stable (2 moities),none,low,IMPROVE,Etat de bilan lent = signal directionnel reel mais modeste; DM non significatif,oui ( re-encode stationnaire: s2u_z),"A utiliser en DIRECTION jamais en RMSE"
EXT019,crop_condition_report_features,Crop Condition,P1,DATA_READY,direction/return,H90,dDA +4.4 pts H90 stable 2 moities; RMSE neutre; nul a court terme,neutre (+0.3%),+0.044 DA H90 (stable),n/a,stable (2 moities),none,low,IMPROVE,Meilleur signal fondamental directionnel long horizon; DM non significatif,oui (cible direction/score long-horizon),"Combiner avec WASDE stocks-to-use"
EXT024,var_supply_demand_benchmark,modele supply-demand,P2,DATA_READY,direction,H90,crop@H90 DA 0.669 AUC 0.724 stable (0.632/0.707); wasde@H40 +0.5pts,degrade (niveaux),crop@H90 +0.066 vs marche (0.604->0.669),n/a,stable (2 moities >0.63),none,low,IMPROVE,Signal directionnel le plus fort du programme; parcimonie (1 signal/horizon),oui (logit parcimonieux crop@H90 + wasde@H40),"Corrige etape5bis (n 3961->3933); DM non signif, IC chevauche marche"
EXT015,shap_feature_selection,selection variables,P2,DATA_READY,direction (diagnostic),H90,top6 train-only 0.658 > RF 0.552 > marche 0.604; vars stables 16/16 ans,n/a,confirme +0.054 vs marche,n/a,stable (16/16 ans),none (selection train-only),low,KEEP,Valide que s2u_z/pctile + cond_anom/dev5y/poor_vp ressortent train-only stablement,oui (liste de variables retenue),"Jeter dummies bilan_tight/loose, momentum court"
EXT017,market_regime_detection,regimes,P2,DATA_READY,direction conditionnelle,H90,uptrend balanced 0.723 vs neutre 0.468; loose stocks 0.738; nul en good-crop/neutre,n/a,fort en uptrend/low-vol/bilan extreme; nul en neutre,n/a,regime-dependant,none (regimes passe-only),medium (slicing post-hoc),IMPROVE,Explique QUAND le signal marche; conditionnement de confiance,oui (conditionnement du score, pas modele par regime),"Filtre a valider en forward (post-hoc)"
EXT009,garch_egarch_volatility,volatilite,P2,DATA_READY,volatilite (risque),H90,EGARCH RMSE -23.7% vs RW; filtre vol: decile haut DA 0.41 (s'inverse PnL<0); all 0.669->0.699,n/a,via filtre +0.030,EGARCH -23.7% RMSE@H90 vs RW,stable,none,low,KEEP,Gate de risque actionnable; vol se prevoit (contrairement au prix),oui (gate de risque du score de vente),"EGARCH si asymetrie voulue, sinon HAR"
EXT010,har_realized_volatility,volatilite,P2,DATA_READY,volatilite (risque),H90,HAR RMSE -22.3% vs RW; meilleur QLIKE tous horizons,n/a,n/a,HAR -22.3% RMSE@H90; meilleur QLIKE tous H,stable,none,low,KEEP,Benchmark vol principal; simple et robuste sans tuning,oui (benchmark vol principal),"La volatilite SE prevoit, le prix non"
EXT011,trend_following_benchmark,trend-following,P2,DATA_READY,direction + strategie,—,tous signaux trend DA<0.5 (mom120 H90 0.384); Sharpe<=0.20 drawdowns enormes,n/a,negatif (DA<0.5),n/a,n/a,none,low,REJECT,Le mais ne tend pas; negative control: l'edge EXT024 n'est PAS du momentum,non (negative control),"Plancher technique de reference, abandonne comme predicteur"
EXT014,bayesian_model_averaging,combinaison modeles,P2,DATA_READY,direction,H90,BMA 0.633 H90: bat marche seul mais < meilleur membre (crop 0.661),n/a,+0.029 vs marche; dilue le meilleur membre,n/a,+ stable que membres,none,low,IMPROVE,Gain de robustesse seulement; ne depasse pas le meilleur modele seul,partiel (filet de securite),"Preferer choix parcimonieux par horizon"
EXT050,model_stacking_ensemble,combinaison modeles,P2,DATA_READY,direction,—,stack instable (1re moitie 0.484/0.500 <=0.5) < moyenne simple < meilleur membre,n/a,negatif (sur-apprend),n/a,instable,none,HIGH,REJECT,Le meta-modele sur-apprend avec un edge faible; parcimonie gagne,non,"ex-EXT028 (collision EXT028/029 catalogue), re-run etape5bis"
EXT001,weather_crop_windows,meteo realisee,P1,DATA_READY,direction/return,—,dRMSE +8.5% (pire); dDA +0.017 H5 negligeable,degrade,negligeable,n/a,n/a,none,low,REJECT,Meteo realisee price-in par anticipation (confirme V45),non (contexte seulement),"-"
EXT002,weather_lags_and_anomalies,meteo realisee,P1,DATA_READY,direction/return,H40,dRMSE +7% (pire); dDA +0.029 H40 mais instable R2 negatif,degrade,instable,n/a,instable,none,low,REJECT,Lags/anomalies realises non exploitables,non,"-"
EXT020,extreme_weather_events,meteo realisee,P1,DATA_READY,direction/return,—,dRMSE +32 a +116% (pire); R2 OOS jusqu'a -3.4,degrade fortement,negatif,n/a,n/a,none,low,REJECT,Extremes realises non predictifs; price-in,non (contexte: basis moins compressible),"-"
EXT008,wasde_surprise_proxy,WASDE surprise,P1,DATA_READY,direction/return,—,dDA -16 pts; RMSE pire,degrade,negatif,n/a,n/a,none,low,REJECT,Surprise sans consensus analystes non captable en quotidien (Huang-Serra-Garcia),non,"Sourcer consensus analystes pour rouvrir"
EXT003,cot_features,COT,P1,DATA_READY (2016+),direction/return,—,degrade RMSE et DA a tous horizons,degrade,negatif,n/a,n/a,none (calendrier vendredi),low,REJECT,Aucun signal de second ordre dans MM disaggregated; dossier COT clos,non,"-"
EXT004,ethanol_ddg_crush_spread,ethanol/energie,P1,PARTIAL_DATA,direction/return,—,proxys energie/demande degradent RMSE+DA,degrade,negatif,n/a,n/a,none,low,REJECT,Sans prix ethanol/DDG pas de vraie marge crush; proxys inutiles,non,"Sourcer prix ethanol CME/EIA + DDG AMS"
EXT005,futures_curve_spreads,courbe futures,P1,DATA_BLOCKED,direction/return,—,non testable: pas de contrats CBOT par maturite (front-only),n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Pas de courbe profonde; EMA accumulee ~2 semaines,non (bloque),"Sourcer contrats CBOT par maturite + courbe >=250j"
EXT013,basis_and_spot_futures_transmission,basis/VECM,P1,DATA_BLOCKED,direction/regime,—,non testable: pas d'EUR/USD quotidien ni spot UE quotidien,n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Basis EUR/t non reconstructible sans eurusd quotidien,non (bloque),"Sourcer FRED DEXUSEU/ECB + FranceAgriMer"
EXT018,weather_risk_premium_new_crop,prime meteo new-crop,P1,PARTIAL_DATA,direction/descriptif,—,descriptif CONFIRME (Janzen); predictif REJECT (stress connu en contemporain seulement),n/a,predictif non ex ante,n/a,n/a,conditionnement contemporain,low,PARTIAL_DATA,Volet descriptif valide; predictif non exploitable ex ante (V45),non (descriptif seulement),"Sourcer contrats Dec + brancher EXT033"
EXT027,crop_progress_condition_surprises,Crop surprises,P1,DATA_READY (NASS public),direction,H5-H20,non lance (propose); surprise hebdo de condition,n/a,n/a,n/a,n/a,none (lundi 16h->J+1),—,NOT_RUN,Propose mais non execute; donnee publique datee disponible,a tester (etape future),"Absorbe partiellement par EXT019; voie la plus actionnable saison"
EXT012,ou_mean_reversion_benchmark,mean-reversion,P2,DATA_BLOCKED,timing reversion,—,non lance: cible basis/spread stationnaire bloquee (EXT013/EXT005),n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Pas de basis quotidien; aucune simulation artificielle,non (bloque),"Rouvrir apres acquisition eurusd quotidien"
EXT016,nbeatsx_exogenous_model,deep learning,P2,DATA_READY (deps absentes),direction/return,—,non lance: torch absent; trop peu d'obs independantes H90; complexite deja nuisible,n/a,n/a,n/a,n/a,n/a,HIGH attendu,NOT_WORTH_YET,DL non justifie vu l'edge faible; sur-apprentissage demontre (RF, stacking),non,"Rouvrir avec donnees plus riches + regularisation forte"
EXT033,weather_forecast_archive_features,meteo prevue,P1/P2,DATA_GATED,direction,H1-H10,non lance (data-gated): revisions de previsions meteo forward,n/a,n/a,n/a,n/a,separation realise/prevu stricte,—,DATA_BLOCKED,Seule voie meteo predictive (V45); archive forward trop courte,non (en attente d'archive),"Accumuler archive previsions forward 2026+"
